name,official,currency_name,currency_symbol,languages,capital,population
Puerto Rico,Commonwealth of Puerto Rico,United States dollar,$,"English, Spanish",San Juan,3203295
Belarus,Republic of Belarus,Belarusian ruble,Br,"Belarusian, Russian",Minsk,9109280
Faroe Islands,Faroe Islands,Danish krone,kr,"Danish, Faroese",Tórshavn,54885
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Eastern Caribbean dollar,$,English,Kingstown,110872
Dominican Republic,Dominican Republic,Dominican peso,$,Spanish,Santo Domingo,10771504
Hungary,Hungary,Hungarian forint,Ft,Hungarian,Budapest,9539502
Bahrain,Kingdom of Bahrain,Bahraini dinar,.د.ب,Arabic,Manama,1594654
Cameroon,Republic of Cameroon,Central African CFA franc,Fr,"English, French",Yaoundé,29442327
Canada,Canada,Canadian dollar,$,"English, French",Ottawa,41651653
Eritrea,State of Eritrea,Eritrean nakfa,Nfk,"Arabic, English, Tigrinya",Asmara,3607000
Singapore,Republic of Singapore,Singapore dollar,$,"English, Chinese, Malay, Tamil",Singapore,6110200
Costa Rica,Republic of Costa Rica,Costa Rican colón,₡,Spanish,San José,5309625
Serbia,Republic of Serbia,Serbian dinar,дин.,Serbian,Belgrade,6567783
Poland,Republic of Poland,Polish złoty,zł,Polish,Warsaw,37392000
Jordan,Hashemite Kingdom of Jordan,Jordanian dinar,د.ا,Arabic,Amman,11734000
